Production Date,State,Other,Sales,Waste,Total_Production,Waste_Ratio,Sales_Ratio
2015-01-01,AK,130651.0,1171752.0,2367.0,1304770.0,0.0018141128320076248,0.8980525302621878
2015-02-01,AK,126843.0,1060499.0,3259.0,1190601.0,0.0027372730240662257,0.8907257762347985
2015-03-01,AK,132499.0,1146487.0,3332.0,1282318.0,0.002598419424620225,0.8940738568050924
2015-04-01,AK,125015.0,1145905.0,2807.0,1273727.0,0.0022037689393250067,0.8996472555814827
2015-05-01,AK,123139.0,1447433.0,3901.0,1574473.0,0.0024776544277051653,0.919312684249313
2015-06-01,AK,120490.0,1272307.0,3444.0,1396241.0,0.0024666228822626877,0.9112373866036567
2015-07-01,AK,128332.0,1303922.0,2114.0,1434368.0,0.0014738198285604656,0.9090568110199714
2015-08-01,AK,129460.0,1289624.0,3047.0,1422131.0,0.002142559299941949,0.9068250392610226
2015-09-01,AK,130590.0,1345844.0,4129.0,1480563.0,0.002788803988564566,0.9090082623360837
2015-10-01,AK,124924.0,1233483.0,5755.0,1364162.0,0.0042187071620365686,0.9042056587924157
2015-11-01,AK,128764.0,1306445.0,3965.0,1439174.0,0.0027550525507857248,0.9077741815160797
2015-12-01,AK,143998.0,1330566.0,1450.0,1476014.0,0.0009823755058568295,0.9014589291902747
2016-01-01,AK,133197.0,1108561.0,3574.0,1245332.0,0.0028699174193813444,0.8901730622123117
2016-02-01,AK,135299.0,941306.0,2844.0,1079449.0,0.002634677506520949,0.8720245235419158
2016-03-01,AK,149148.0,963385.0,1755.0,1114288.0,0.0015749967690960507,0.8645745084875207
2016-04-01,AK,142523.0,1034801.0,4632.0,1181956.0,0.00391892760780275,0.8754987494563673
2016-05-01,AK,127567.0,1071820.0,2847.0,1202234.0,0.002368091402974122,0.8915236134653051
2016-06-01,AK,104055.0,948474.0,1257.0,1053786.0,0.0011928418102733532,0.9000632006023933
2016-07-01,AK,99457.0,1016654.0,3726.0,1119837.0,0.003327269950597518,0.9078589115283867
2016-08-01,AK,110740.0,1016058.0,6733.0,1133531.0,0.005939846373329018,0.896365427950681
2016-09-01,AK,120093.0,1026862.0,5046.0,1152001.0,0.004380204530692229,0.8913724900506707
2016-10-01,AK,132758.0,1222506.0,6336.0,1361600.0,0.004653349000833332,0.8978451820727199
2016-11-01,AK,141251.0,1307514.0,1501.0,1450266.0,0.0010349825479577552,0.9015684018723759
2016-12-01,AK,144267.0,1422407.0,2103.0,1568777.0,0.0013405346966878953,0.9066980201197048
2017-01-01,AK,138353.0,1277051.0,5074.0,1420478.0,0.0035720370182732828,0.8990290591688833
2017-02-01,AK,117751.0,1153583.0,2366.0,1273700.0,0.0018575802777845976,0.9056944334689727
2017-03-01,AK,130739.0,1152379.0,2100.0,1285218.0,0.0016339640433269715,0.896640881088139
2017-04-01,AK,121954.0,1298699.0,1771.0,1422424.0,0.0012450577323466802,0.9130181998536991
2017-05-01,AK,120428.0,1257438.0,1559.0,1379425.0,0.00113018105361798,0.9115667759456609
2017-06-01,AK,148224.0,1100660.0,2162.0,1251046.0,0.0017281538806943825,0.8797917901596111
2017-07-01,AK,150850.0,1156301.0,1798.0,1308949.0,0.0013736211264630156,0.8833812470246448
2017-08-01,AK,167870.0,1158867.0,2936.0,1329673.0,0.0022080616811646124,0.8715428529516999
2017-09-01,AK,157713.0,1097220.0,4765.0,1259698.0,0.003782652667243843,0.8710182916166399
2017-10-01,AK,191531.0,1080275.0,2801.0,1274607.0,0.0021975401043460813,0.8475357501686765
2017-11-01,AK,172248.0,1234800.0,1524.0,1408572.0,0.001081946822662814,0.8766325043464848
2017-12-01,AK,169922.0,1255553.0,2601.0,1428076.0,0.0018213316376844556,0.8791920037253484
2018-01-01,AK,170933.0,1232880.0,1827.0,1405640.0,0.0012997638085640872,0.8770951309811121
2018-02-01,AK,147713.0,1023930.0,1512.0,1173155.0,0.001288832251382909,0.8728002692847237
2018-03-01,AK,160716.0,1021156.0,1198.0,1183070.0,0.001012619709652631,0.8631408115442754
2018-04-01,AK,154309.0,924269.0,2489.0,1081067.0,0.00230235498796075,0.8549599607744053
2018-05-01,AK,146530.0,1054367.0,1381.0,1202278.0,0.0011486528073250402,0.8769743769014342
2018-06-01,AK,140811.0,1033518.0,2496.0,1176825.0,0.0021209610603003027,0.8782257344228559
2018-07-01,AK,142173.0,1143686.0,1883.0,1287742.0,0.0014622494256254551,0.8881328712670602
2018-08-01,AK,143586.0,1092702.0,3250.0,1239538.0,0.0026219446275449446,0.8815397348946511
2018-09-01,AK,142138.0,1008212.0,3480.0,1153830.0,0.00301604222432975,0.8737959664011339
2018-10-01,AK,198843.0,1061275.0,3997.0,1264115.0,0.0031618958715653326,0.8395399152102823
2018-11-01,AK,208710.0,1312145.0,4797.0,1525652.0,0.003144229483319641,0.8600552418991975
2018-12-01,AK,297564.0,1510108.0,4126.0,1811798.0,0.002277295813204491,0.8334858521295704
2019-01-01,AK,278999.0,1442569.0,5834.0,1727402.0,0.0033773261809713472,0.8351090249498895
2019-02-01,AK,238233.0,1429249.0,2180.0,1669662.0,0.0013056534794883244,0.8560109770207376
2019-03-01,AK,249876.0,1575782.0,2933.0,1828591.0,0.0016039672074507657,0.8617465578217465
2019-04-01,AK,249673.0,1318634.0,5102.0,1573409.0,0.003242640660931605,0.8380745247524277
2019-05-01,AK,259991.0,1189507.0,3569.0,1453067.0,0.002456184057413995,0.8186181366159565
2019-06-01,AK,235422.0,1118670.0,7723.0,1361815.0,0.0056711080428934095,0.8214551902555446
2019-07-01,AK,242302.0,1235682.0,4646.0,1482630.0,0.0031336206603715276,0.833439226183644
2019-08-01,AK,240217.0,1129351.0,2368.0,1371936.0,0.0017260280361674283,0.8231805273115378
2019-09-01,AK,268314.0,1327188.0,2183.0,1597685.0,0.001366351940378338,0.8306944109238871
2019-10-01,AK,237083.0,1513286.0,1786.0,1752155.0,0.001019316213404675,0.8636713075690409
2019-11-01,AK,221091.0,1565725.0,684.0,1787500.0,0.00038265734263593526,0.8759300698810668
2019-12-01,AK,188444.0,1481646.0,4466.0,1674556.0,0.0026669756041203174,0.884799313914566
2020-01-01,AK,191544.0,1551332.0,1348.0,1744224.0,0.0007728365163664279,0.8894109930324654
2020-02-01,AK,190655.0,1382431.0,1428.0,1574514.0,0.0009069465243937528,0.8780048954230953
2020-03-01,AK,214006.0,1431481.0,1739.0,1647226.0,0.0010557142735085705,0.8690252581692478
2020-04-01,AK,188940.0,1299706.0,1645.0,1490291.0,0.001103811269000228,0.8721155800530154
2020-05-01,AK,181185.0,1258409.0,3050.0,1442644.0,0.002114173697591771,0.872293511020578
2020-06-01,AK,166652.0,1001571.0,1530.0,1169753.0,0.0013079684342499683,0.8562243481439051
2020-07-01,AK,166921.0,1076345.0,1995.0,1245261.0,0.0016020737819941301,0.864352934777179
2020-08-01,AK,158856.0,1154396.0,1485.0,1314737.0,0.0011295034671474596,0.8780432891994335
2020-09-01,AK,159488.0,1198718.0,2041.0,1360247.0,0.0015004627834870827,0.8812502434571625
2020-10-01,AK,221536.0,1173583.0,2604.0,1397723.0,0.0018630300852269706,0.8396391845280045
2020-11-01,AK,228303.0,1177117.0,8374.0,1413794.0,0.005923069414219959,0.832594423173914
2020-12-01,AK,198199.0,1187876.0,1388.0,1387463.0,0.001000387037275921,0.8561496774432075
2021-01-01,AK,182907.0,1044528.0,1037.0,1228472.0,0.0008441380836645737,0.8502660214599709
2021-02-01,AK,169489.0,951598.0,934.0,1122021.0,0.0008324264874870946,0.8481106859097903
2021-03-01,AK,198161.0,1059517.0,1668.0,1259346.0,0.001324497000719064,0.8413231946707797
2021-04-01,AK,204827.0,974412.0,1528.0,1180767.0,0.0012940741059587475,0.8252364775755727
2021-05-01,AK,206523.0,1025418.0,1666.0,1233607.0,0.0013505111432287177,0.8312355555025842
2021-06-01,AK,200469.0,931022.0,1805.0,1133296.0,0.0015926995240790843,0.8215170616660151
2021-07-01,AK,148801.0,899812.0,2513.0,1051126.0,0.0023907695174136333,0.8560458022296046
2021-08-01,AK,179127.0,805355.0,3601.0,988083.0,0.0036444306800497094,0.8150681672678238
2021-09-01,AK,177180.0,680980.0,1373.0,859533.0,0.001597379041689222,0.7922674288488903
2021-10-01,AK,187324.0,870419.0,3147.0,1060890.0,0.0029663772867152692,0.8204611221879308
2021-11-01,AK,196342.0,738470.0,93449.0,1028261.0,0.0908806227124358,0.7181736931850792
2021-12-01,AK,382897.0,762661.0,92768.0,1238326.0,0.07491403716994442,0.615880632352395
2022-01-01,AK,855807.0,821569.0,3526.0,1680902.0,0.0020976832675493463,0.48876674544448356
2022-02-01,AK,1398044.0,735640.0,7427.0,2141111.0,0.003468759909996784,0.3435786374296532
2022-03-01,AK,2000556.0,777544.0,6456.0,2784556.0,0.002318502482897866,0.2792344632221714
2022-04-01,AK,2426277.0,799027.0,11270.0,3236574.0,0.003482077035671606,0.24687431833021972
2022-05-01,AK,3155820.0,948763.0,16213.0,4120796.0,0.003934434026728466,0.23023779871097144
2022-06-01,AK,147588.0,4023940.0,13976.0,4185504.0,0.003339143864076127,0.9613991528627999
2022-07-01,AK,3150378.0,812681.0,12148.0,3975207.0,0.0030559414892594038,0.20443740413506928
2022-08-01,AK,2852448.0,758469.0,20145.0,3631062.0,0.005547963653455988,0.20888351671745392
2022-09-01,AK,3196505.0,742316.0,9816.0,3948637.0,0.002485921091189544,0.18799297073425608
2022-10-01,AK,2892465.0,702757.0,12177.0,3607399.0,0.0033755622817610263,0.19480988933592294
2022-11-01,AK,2631253.0,681030.0,7163.0,3319446.0,0.0021578902020952325,0.20516375322252076
2022-12-01,AK,2186032.0,694231.0,12394.0,2892657.0,0.004284642112622249,0.23999769069613172
2023-01-01,AK,2445524.0,721450.0,9396.0,3176370.0,0.0029580936728731827,0.22713034060178347
2023-02-01,AK,2320221.0,644397.0,11651.0,2976269.0,0.003914632716198884,0.216511679548572
2023-03-01,AK,1861698.0,591950.0,27712.0,2481360.0,0.011168069122933872,0.23855869361001394
2023-04-01,AK,117030.0,738184.0,2171.0,857385.0,0.0025321180097001793,0.8609714421338173
2023-05-01,AK,123859.0,776243.0,1834.0,901936.0,0.0020334037002588427,0.86064088794985
2023-06-01,AK,111944.0,726637.0,1318.0,839899.0,0.0015692363008445974,0.8651480712722426
2023-07-01,AK,96748.0,733063.0,1822.0,831633.0,0.0021908702513980484,0.8814741597698175
2023-08-01,AK,93381.0,739554.0,3288.0,836223.0,0.003931965515905212,0.8843980611769352
2023-09-01,AK,81226.0,841462.0,5293.0,927981.0,0.005703780572478986,0.9067664099904237
2023-10-01,AK,94071.0,976520.0,4265.0,1074856.0,0.003967973383972553,0.9085123959945786
2023-11-01,AK,103022.0,894586.0,3408.0,1001016.0,0.003404540986017752,0.8936780230392244
2023-12-01,AK,112999.0,867556.0,4248.0,984803.0,0.004313553065505126,0.8809437013411877
2024-01-01,AK,107792.0,899836.0,3001.0,1010629.0,0.0029694378448501444,0.8903722334417109
